Timestamp,From Address,Token,Token Amount,$USD Value,Network,Transaction Hash
1639473144000,0xb51383950174e9a5d74e1ac79ccd407accce4501,MATIC,2.000000,3.628003,polygon,0xcccea06483045938fc4b210a145d2b5c26f2a307442af871507d331c47cfcf0d
1639476903000,0xb51383950174e9a5d74e1ac79ccd407accce4501,ETH,0.007188,27.191451,ethereum,0xb1b4ea5a5ad8030cc085fa08983c4b8d683e13964e80ca5a354697ef318d1dc8
1639486893000,0xfba11c84041c2d70a8a3a724c5d5212e50ba858a,MATIC,0.360000,0.653041,polygon,0x32f4545841e46b515e02ba119b03bf46483e4b19fe07340063341800de6b23b1
1639523417000,0xfa48a2a8388eaa29991a3d03642e9d75da9a8870,ETH,0.001000,3.782895,ethereum,0x379d462963c3f4208e0e0aa76a8b9a8d035ce0ab30eae63312e61ec0e69a2a92
1639495927000,0xd1b1a4bee37b861fafabd05e5f306a862b94d037,MATIC,0.320000,0.580481,polygon,0x3f8f2675e14c7b232300619779af7920d5597f5215e8ddb5de24a88d2ffad21a
1639559691000,0x4207a1608e88c097d33959badbf0a4c60c01ee38,ETH,0.005000,19.290822,ethereum,0x9a9da49427907af6657062a1c4ee508a46dd9c956e446673ba77ccee0d1fc57d
1639500579000,0x5d8242290132e7e20acbe1d80b2f530964de63fd,MATIC,0.990000,1.795862,polygon,0xab505ef5b2234520b6066c077c3b1555ab0c14c007ee4a845219227ee3e4258b
1639619170000,0xc8cf8f43bd13b2f5ec6e5c4c5f567b0d9051996f,ETH,0.004926,19.781449,ethereum,0x3275501c8a6a59cf92104a47f7a886821ce362396d3a9f3f16727a1ef6c33f16
1639523288000,0xfa48a2a8388eaa29991a3d03642e9d75da9a8870,MATIC,2.000000,3.628003,polygon,0xcfeda624d207941a38fd71b74abd79844744864bda91a565d413f0496caccb9c
1640014494000,0x23dc8a2ffe6417dac5b8a41ff553159ebca8e149,ETH,0.001000,3.928842,ethereum,0xf3208e2ccfb70dded29e2425bfe50edef96d6cc49754f916e111901b22ee9569
1640090825000,0x145cc810d6c7e312a7b59e07f017311a7663905f,ETH,0.005000,19.752412,ethereum,0xb1595ae79f7b48657e4f7dda010e1eecdd05c8f917666f90d9834247df535972
1639552066000,0xc66a59b2dfc73d1852ed7167cc4e104c5e2bac19,MATIC,1.000000,1.936036,polygon,0x8b67e13483961a1a1f5b3e833e0dbf8892512a865861a3756dcda773aab5bf54
1640201610000,0x6f3eacb2670fe3678f4c66a48e2b8d74ab066b5b,ETH,0.004000,16.146199,ethereum,0xdadb53c36a33f0767065e4884ad9b51d32f500cb029e463618b8959a60b4069a
1639561614000,0x9ccd386c374db0e24c2d2e099e05da246cc53a1a,MATIC,10.000000,19.360364,polygon,0x359960bd2f1f55c9b7eae88fe66587710fe5e6d3c76f1e8f5cef067e389513ec
